id,koolinimi,vald,maakond,opilasi
91,Kohtla-Järve Tammiku Gümnaasium,Kohtla-Järve linn,Ida-Viru maakond,550
92,Paide Ühisgümnaasium,Paide linn,Järva maakond,549
93,Kiili Gümnaasium,Kiili vald,Harju maakond,547
94,Pärnu Vene Gümnaasium,Pärnu linn,Pärnu maakond,546
95,Hugo Treffneri Gümnaasium,Tartu linn,Tartu maakond,544
96,Rapla Ühisgümnaasium,Rapla vald,Rapla maakond,541
97,Kuusalu Keskkool,Kuusalu vald,Harju maakond,536
98,Kohtla-Järve Slaavi Põhikool,Kohtla-Järve linn,Ida-Viru maakond,525
99,Haabersti Vene Gümnaasium,Tallinn linn,Harju maakond,524
100,Tallinna Nõmme Põhikool,Tallinn linn,Harju maakond,522
101,Kose Gümnaasium,Kose vald,Harju maakond,507
102,Kohtla-Järve Kesklinna Gümnaasium,Kohtla-Järve linn,Ida-Viru maakond,503
103,Narva 6. Kool,Narva linn,Ida-Viru maakond,502
104,Sillamäe Kannuka Kool,Sillamäe linn,Ida-Viru maakond,501
105,Tartu Raatuse Gümnaasium,Tartu linn,Tartu maakond,500
106,Tallinna Kunstigümnaasium,Tallinn linn,Harju maakond,498
107,Sillamäe Vanalinna Kool,Sillamäe linn,Ida-Viru maakond,484
108,Pärnu Kuninga Tänava Põhikool,Pärnu linn,Pärnu maakond,481
109,Pärnu Vanalinna Põhikool,Pärnu linn,Pärnu maakond,476
110,Kohtla-Järve Ühisgümnaasium,Kohtla-Järve linn,Ida-Viru maakond,472
111,Viljandi Gümnaasium,Viljandi linn,Viljandi maakond,465
112,Tõrva Gümnaasium,Tõrva linn,Valga maakond,464
113,Räpina Ühisgümnaasium,Räpina vald,Põlva maakond,462
114,Viljandi Paalalinna Kool,Viljandi linn,Viljandi maakond,462
115,Lähte Ühisgümnaasium,Tartu vald,Tartu maakond,446
116,Karjamaa Gümnaasium,Tallinn linn,Harju maakond,445
117,Narva Vanalinna Riigikool,Narva linn,Ida-Viru maakond,438
118,Tartu Veeriku Kool,Tartu linn,Tartu maakond,438
119,Kohtla-Järve Järve Gümnaasium,Kohtla-Järve linn,Ida-Viru maakond,433
120,Paikuse Põhikool,Paikuse vald,Pärnu maakond,431
121,Kärdla Ühisgümnaasium,Kärdla linn,Hiiu maakond,429
122,Võru Kesklinna Gümnaasium,Võru linn,Võru maakond,428
123,Lasnamäe Üldgümnaasium,Tallinn linn,Harju maakond,426
124,Kehra Gümnaasium,Anija vald,Harju maakond,421
125,Tartu Kesklinna Kool,Tartu linn,Tartu maakond,419
126,Tallinna Juhkentali Gümnaasium,Tallinn linn,Harju maakond,417
127,Otepää Gümnaasium,Otepää vald,Valga maakond,409
128,Tartu Jaan Poska Gümnaasium,Tartu linn,Tartu maakond,407
129,Valga Vene Gümnaasium,Valga linn,Valga maakond,406
130,Tamsalu Gümnaasium,Tamsalu vald,Lääne-Viru maakond,404
131,Jõgeva Ühisgümnaasium,Jõgeva linn,Jõgeva maakond,396
132,Nõo Põhikool,Nõo vald,Tartu maakond,387
133,Pärnu Rääma Põhikool,Pärnu linn,Pärnu maakond,382
134,Maardu Põhikool,Maardu linn,Harju maakond,379
135,Kilingi-Nõmme Gümnaasium,Saarde vald,Pärnu maakond,377
136,Kuressaare Vanalinna Kool,Kuressaare linn,Saare maakond,374
137,Liivalaia Gümnaasium,Tallinn linn,Harju maakond,374
138,Peetri Lasteaed-Põhikool,Rae vald,Harju maakond,372
139,Tartu Forseliuse Gümnaasium,Tartu linn,Tartu maakond,371
140,Vinni-Pajusti Gümnaasium,Vinni vald,Lääne-Viru maakond,366
141,Tallinna Ranniku Gümnaasium,Tallinn linn,Harju maakond,362
142,Kunda Ühisgümnaasium,Kunda linn,Lääne-Viru maakond,358
143,Antsla Gümnaasium,Antsla vald,Võru maakond,354
144,Kalamaja Põhikool,Tallinn linn,Harju maakond,354
145,Tallinna Pääsküla Gümnaasium,Tallinn linn,Harju maakond,353
146,Pärnu Sütevaka Humanitaargümnaasium,Pärnu linn,Pärnu maakond,352
147,August Kitzbergi nimeline Gümnaasium,Karksi vald,Viljandi maakond,350
148,Loksa Gümnaasium,Loksa linn,Harju maakond,350
149,Tartu Katoliku Hariduskeskus,Tartu linn,Tartu maakond,347
150,Vändra Gümnaasium,Vändra (alev) vald,Pärnu maakond,346
151,Pärnu Hansagümnaasium,Pärnu linn,Pärnu maakond,344
152,Rakvere Eragümnaasium,Rakvere linn,Lääne-Viru maakond,336
153,Parksepa Keskkool,Võru vald,Võru maakond,332
154,Väike-Maarja Gümnaasium,Väike-Maarja vald,Lääne-Viru maakond,331
155,Tartu Hiie Kool,Tartu linn,Tartu maakond,327
156,Kiviõli Vene Gümnaasium,Kiviõli linn,Ida-Viru maakond,325
157,Haapsalu Wiedemanni Gümnaasium,Haapsalu linn,Lääne maakond,323
158,Loo Keskkool,Jõelähtme vald,Harju maakond,312
159,Tarvastu Gümnaasium,Tarvastu vald,Viljandi maakond,312
160,Tallinna Juudi Kool,Tallinn linn,Harju maakond,310
161,Kiviõli 1. Keskkool,Kiviõli linn,Ida-Viru maakond,306
162,Tallinna Kivimäe Põhikool,Tallinn linn,Harju maakond,306
163,Tallinna Muusikakeskkool,Tallinn linn,Harju maakond,299
164,Haljala Gümnaasium,Haljala vald,Lääne-Viru maakond,296
165,Sindi Gümnaasium,Sindi linn,Pärnu maakond,291
166,Merivälja Kool,Tallinn linn,Harju maakond,281
167,Tallinna Paekaare Gümnaasium,Tallinn linn,Harju maakond,281
168,Koeru Keskkool,Koeru vald,Järva maakond,279
169,Ristiku Põhikool,Tallinn linn,Harju maakond,279
170,Audentese Erakool,Tallinn linn,Harju maakond,278
171,Lasnamäe Põhikool,Tallinn linn,Harju maakond,275
172,Põlva Keskkool,Põlva linn,Põlva maakond,274
173,Suure-Jaani Gümnaasium,Suure-Jaani vald,Viljandi maakond,268
174,Aruküla Põhikool,Raasiku vald,Harju maakond,265
175,Pärnu Raeküla Kool,Pärnu linn,Pärnu maakond,262
176,Tallinna Sikupilli Keskkool,Tallinn linn,Harju maakond,261
177,Oskar Lutsu Palamuse Gümnaasium,Palamuse vald,Jõgeva maakond,260
178,Tartu Herbert Masingu Kool,Tartu linn,Tartu maakond,253
179,Audru Keskkool,Audru vald,Pärnu maakond,245
180,Nõo Reaalgümnaasium,Nõo vald,Tartu maakond,242
181,Haapsalu Linna Algkool,Haapsalu linn,Lääne maakond,241
182,Puhja Gümnaasium,Puhja vald,Tartu maakond,236
183,Käina Gümnaasium,Käina vald,Hiiu maakond,234
184,Toila Gümnaasium,Toila vald,Ida-Viru maakond,232
185,Kohtla-Järve Järve Vene Gümnaasium,Kohtla-Järve linn,Ida-Viru maakond,231
186,Paldiski Vene Gümnaasium,Paldiski linn,Harju maakond,230
187,Sakala Eragümnaasium,Tallinn linn,Harju maakond,230
188,Juhan Liivi nim. Alatskivi Keskkool,Alatskivi vald,Tartu maakond,225
189,Vastseliina Gümnaasium,Vastseliina vald,Võru maakond,224
190,Narva Eesti Gümnaasium,Narva linn,Ida-Viru maakond,223
191,Orissaare Gümnaasium,Orissaare vald,Saare maakond,218
192,Lihula Gümnaasium,Lihula vald,Lääne maakond,217
193,Tallinna Tondi Põhikool,Tallinn linn,Harju maakond,216
194,Võru 1. Põhikool,Võru linn,Võru maakond,216
195,Luunja Keskkool,Luunja vald,Tartu maakond,215
196,Narva Paju Kool,Narva linn,Ida-Viru maakond,215
197,Kallavere Keskkool,Maardu linn,Harju maakond,213
198,Rõngu Keskkool,Rõngu vald,Tartu maakond,213
199,Narva Peetri Kool,Narva linn,Ida-Viru maakond,212
200,Abja Gümnaasium,Abja vald,Viljandi maakond,211
201,Kanepi Gümnaasium,Kanepi vald,Põlva maakond,204
202,Järva-Jaani Gümnaasium,Järva-Jaani vald,Järva maakond,203
203,Tapa Vene Gümnaasium,Tapa vald,Lääne-Viru maakond,203
204,Häädemeeste Keskkool,Häädemeeste vald,Pärnu maakond,201
205,Rakvere Põhikool,Rakvere linn,Lääne-Viru maakond,199
206,Tartu Waldorfgümnaasium,Tartu linn,Tartu maakond,198
207,Taebla Gümnaasium,Taebla vald,Lääne maakond,197
208,Kõrveküla Põhikool,Tartu vald,Tartu maakond,196
209,Pärnu-Jaagupi Gümnaasium,Halinga vald,Pärnu maakond,195
210,Avinurme Gümnaasium,Avinurme vald,Ida-Viru maakond,189
211,Püünsi Kool,Viimsi vald,Harju maakond,188
212,Tartu Erakool,Tartu linn,Tartu maakond,187
