id,koolinimi,vald,maakond,opilasi
313,Kohtla Põhikool,Kohtla-Nõmme vald,Ida-Viru maakond,87
314,Lustivere Põhikool,Põltsamaa vald,Jõgeva maakond,87
315,Vastse-Kuuste Kool,Vastse-Kuuste vald,Põlva maakond,87
316,Aruküla Vaba Waldorfkool,Raasiku vald,Harju maakond,86
317,Koigi Kool,Koigi vald,Järva maakond,86
318,Muhu Põhikool,Muhu vald,Saare maakond,86
319,Porkuni kool,Tamsalu vald,Lääne-Viru maakond,86
320,Ämari Põhikool,Vasalemma vald,Harju maakond,85
321,Palupera Põhikool,Palupera vald,Valga maakond,84
322,Are Põhikool,Are vald,Pärnu maakond,82
323,Eesti Rahvusvaheline Kool,Tallinn linn,Harju maakond,82
324,Imavere Põhikool,Imavere vald,Järva maakond,82
325,Kaiu Põhikool,Kaiu vald,Rapla maakond,82
326,Krabi Põhikool,Varstu vald,Võru maakond,82
327,Raikküla Kool,Raikküla vald,Rapla maakond,82
328,Kiigemetsa Kool,Jõgeva vald,Jõgeva maakond,81
329,Retla Kool,Türi vald,Järva maakond,81
330,Vääna Mõisakool,Harku vald,Harju maakond,81
331,Alavere Põhikool,Anija vald,Harju maakond,80
332,Emmaste Põhikool,Emmaste vald,Hiiu maakond,80
333,Uhtna Põhikool,Sõmeru vald,Lääne-Viru maakond,80
334,Voore Põhikool,Saare vald,Jõgeva maakond,80
335,Saarepeedi Kool,Saarepeedi vald,Viljandi maakond,79
336,Tallinna Vaba Waldorfkool,Tallinn linn,Harju maakond,79
337,Albu Põhikool,Albu vald,Järva maakond,78
338,Hagudi Põhikool,Rapla vald,Rapla maakond,78
339,Tartu Maarja Kool,Tartu linn,Tartu maakond,78
340,Valga Jaanikese Kool,Valga linn,Valga maakond,78
341,Laekvere Põhikool,Laekvere vald,Lääne-Viru maakond,77
342,Orava Põhikool,Orava vald,Põlva maakond,76
343,Sillaotsa Kool,Haaslava vald,Tartu maakond,76
344,Erakool Läte,Keila linn,Harju maakond,75
345,Friedebert Tuglase nim. Ahja Kool,Ahja vald,Põlva maakond,75
346,Lauka Põhikool,Kõrgessaare vald,Hiiu maakond,75
347,Pärnjõe Põhikool,Vändra vald,Pärnu maakond,75
348,Palivere Põhikool,Taebla vald,Lääne maakond,74
349,Ämmuste Kool,Tarvastu vald,Viljandi maakond,74
350,Olustvere Põhikool,Suure-Jaani vald,Viljandi maakond,73
351,Roosna-Alliku Põhikool,Roosna-Alliku vald,Järva maakond,73
352,Kolga-Jaani Põhikool,Kolga-Jaani vald,Viljandi maakond,72
353,Mõniste Kool,Mõniste vald,Võru maakond,72
354,Tallinna Konstantin Pätsi Vabaõhukool,Tallinn linn,Harju maakond,72
355,Haanja Kool,Haanja vald,Võru maakond,71
356,Hummuli Põhikool,Hummuli vald,Valga maakond,71
357,Tallinna Soome Kool,Tallinn linn,Harju maakond,71
358,Padise Põhikool,Padise vald,Harju maakond,70
359,Risti Põhikool,Risti vald,Lääne maakond,70
360,Sõmerpalu Põhikool,Sõmerpalu vald,Võru maakond,70
361,Ferdinand von Wrangelli nimeline Roela Lasteaed-Põ,Vinni vald,Lääne-Viru maakond,69
362,Lasila Põhikool,Rakvere vald,Lääne-Viru maakond,69
363,Ardu Kool,Kõue vald,Harju maakond,68
364,Lüllemäe Põhikool,Karula vald,Valga maakond,68
365,Palade Põhikool,Pühalepa vald,Hiiu maakond,68
366,Laiuse Põhikool,Jõgeva vald,Jõgeva maakond,67
367,Melliste Algkool-Lasteaed,Mäksa vald,Tartu maakond,67
368,Viiratsi Kool,Viiratsi vald,Viljandi maakond,67
369,Kirivere Põhikool,Kõo vald,Viljandi maakond,66
370,Simuna Kool,Väike-Maarja vald,Lääne-Viru maakond,66
371,Tallinna Balletikooli üldharidusklassid,Tallinn linn,Harju maakond,66
372,Tallinna Heleni Kool,Tallinn linn,Harju maakond,66
373,Maidla Kool,Maidla vald,Ida-Viru maakond,65
374,Noarootsi Kool,Noarootsi vald,Lääne maakond,65
375,Saverna Põhikool,Valgjärve vald,Põlva maakond,65
376,EBS Gümnaasium,Tallinn linn,Harju maakond,64
377,Lahmuse Kool,Suure-Jaani vald,Viljandi maakond,64
378,Holstre Kool,Paistu vald,Viljandi maakond,63
379,J.V.Veski nim. Maarja Põhikool,Tabivere vald,Jõgeva maakond,63
380,Krootuse Põhikool,Kõlleste vald,Põlva maakond,63
381,Kernu Põhikool,Kernu vald,Harju maakond,62
382,Kosejõe kool,Kose vald,Harju maakond,62
383,Sürgavere Lasteaed-Põhikool,Suure-Jaani vald,Viljandi maakond,62
384,Virtsu Kool,Hanila vald,Lääne maakond,62
385,Risti Põhikool (Harju),Padise vald,Harju maakond,61
386,Keila-Joa Sanatoorne Internaatkool,Harku vald,Harju maakond,60
387,Konguta Kool,Konguta vald,Tartu maakond,60
388,Paistu Kool,Paistu vald,Viljandi maakond,60
389,Põlula Kool,Rägavere vald,Lääne-Viru maakond,60
390,Illuka Kool,Illuka vald,Ida-Viru maakond,58
391,Võsu Kool,Vihula vald,Lääne-Viru maakond,58
392,Vaimastvere Kool,Jõgeva vald,Jõgeva maakond,57
393,Varbla Põhikool,Varbla vald,Pärnu maakond,57
394,Aegviidu Kool,Aegviidu vald,Harju maakond,56
395,Kabala Lasteaed-Põhikool,Raikküla vald,Rapla maakond,56
396,Kallemäe Kool,Valjala vald,Saare maakond,56
397,Kildu Põhikool,Suure-Jaani vald,Viljandi maakond,56
398,Kiltsi Põhikool,Väike-Maarja vald,Lääne-Viru maakond,56
399,Siimusti Lasteaed-Algkool,Jõgeva vald,Jõgeva maakond,56
400,Sinimäe Põhikool,Vaivara vald,Ida-Viru maakond,56
401,Viljandi Kaare Kool,Viljandi linn,Viljandi maakond,56
402,Mõisaküla Kool,Mõisaküla linn,Viljandi maakond,55
403,Tallinna Toomkool,Tallinn linn,Harju maakond,55
404,Tartu Emajõe Kool,Tartu linn,Tartu maakond,55
405,Eidapere Kool,Kehtna vald,Rapla maakond,54
406,Kõpu Põhikool,Kõpu vald,Viljandi maakond,54
407,Lümanda Põhikool,Lümanda vald,Saare maakond,54
408,MTÜ Kool 21. sajandil Haabersti Vene Eragümnaasium,Tallinn linn,Harju maakond,54
409,Päinurme Internaatkool,Koigi vald,Järva maakond,54
410,Tornimäe Põhikool,Pöide vald,Saare maakond,54
411,Audentese Spordigümnaasiumi Otepää filiaal,Otepää vald,Valga maakond,53
412,Johannese Kool ja Lasteaed Rosmal,Põlva vald,Põlva maakond,53
413,Jäneda Kool,Tapa vald,Lääne-Viru maakond,53
414,Kivi-Vigala Põhikool,Vigala vald,Rapla maakond,53
415,Laeva Põhikool,Laeva vald,Tartu maakond,53
416,Mustjala Lasteaed-Põhikool,Mustjala vald,Saare maakond,53
417,Tallinna Mustamäe 1. Lasteaed-Algkool,Tallinn linn,Harju maakond,53
418,Koonga Põhikool,Koonga vald,Pärnu maakond,52
419,Kose-Uuemõisa Lasteaed-Kool,Kose vald,Harju maakond,52
420,Kodila Põhikool,Rapla vald,Rapla maakond,50
421,Kolkja Põhikool,Peipsiääre vald,Tartu maakond,50
422,Tartu Kristlik Põhikool,Tartu linn,Tartu maakond,50
423,Urvaste Kool,Urvaste vald,Võru maakond,50
424,Lehtse Kool,Tapa vald,Lääne-Viru maakond,49
425,Leie Põhikool,Kolga-Jaani vald,Viljandi maakond,49
426,Meremäe Kool,Meremäe vald,Võru maakond,49
427,Valgu Põhikool,Märjamaa vald,Rapla maakond,49
428,Hargla Kool,Taheva vald,Valga maakond,48
429,Muuga Põhikool,Laekvere vald,Lääne-Viru maakond,47
430,Viljandi Vaba Waldorfkool,Viljandi linn,Viljandi maakond,47
431,Ala Põhikool,Helme vald,Valga maakond,46
432,Kaali Kool,Pihtla vald,Saare maakond,46
433,Kihnu Kool,Kihnu vald,Pärnu maakond,46
434,Metsapoole Põhikool,Häädemeeste vald,Pärnu maakond,46
435,Tääksi Põhikool,Suure-Jaani vald,Viljandi maakond,46
436,Kuuste Kool,Kambja vald,Tartu maakond,45
437,Esku-Kamari Kool,Põltsamaa vald,Jõgeva maakond,44
438,Martna Põhikool,Martna vald,Lääne maakond,44
439,Peetri Kool,Kareda vald,Järva maakond,43
440,Tootsi Lasteaed-Põhikool,Tootsi vald,Pärnu maakond,43
441,Lohusuu Kool,Lohusuu vald,Ida-Viru maakond,42
442,Tapa Erikool,Tapa vald,Lääne-Viru maakond,42
443,Kauksi Põhikool,Mooste vald,Põlva maakond,41
444,Pärnu Toimetulekukool,Pärnu linn,Pärnu maakond,40
445,Vihasoo Lasteaed-Algkool,Kuusalu vald,Harju maakond,40
446,Alu Lasteaed-Algkool,Rapla vald,Rapla maakond,39
447,Ambla Lasteaed-Põhikool,Ambla vald,Järva maakond,39
448,Kihelkonna Kool,Kihelkonna vald,Saare maakond,38
449,Mikitamäe Kool,Mikitamäe vald,Põlva maakond,37
450,Riidaja Põhikool,Põdrala vald,Valga maakond,37
451,Tahkuranna Lasteaed-Algkool,Tahkuranna vald,Pärnu maakond,37
452,Vidruka Kool,Taebla vald,Lääne maakond,37
453,Käo Põhikool,Tallinn linn,Harju maakond,36
454,Tallinna Laagna Lasteaed-Põhikool,Tallinn linn,Harju maakond,36
455,Tudulinna Põhikool,Tudulinna vald,Ida-Viru maakond,36
456,"""Edu Valem"" Erakool",Tallinn linn,Harju maakond,35
457,Kahtla Lasteaed-Põhikool,Laimjala vald,Saare maakond,35
458,Käru Põhikool,Käru vald,Rapla maakond,35
459,Lehola Kool,Keila vald,Harju maakond,35
460,Võru Järve Kool,Võru linn,Võru maakond,35
461,Klooga Kool,Keila vald,Harju maakond,34
462,Libatse Lasteaed-Algkool,Halinga vald,Pärnu maakond,34
463,Kajamaa Kool,Saku vald,Harju maakond,33
464,Sadala Põhikool,Torma vald,Jõgeva maakond,33
465,Lõpe Põhikool,Koonga vald,Pärnu maakond,32
466,Misso Kool,Misso vald,Võru maakond,32
467,Pikavere Lasteaed-Algkool,Raasiku vald,Harju maakond,32
468,Harmi Põhikool,Kõue vald,Harju maakond,31
